"User-ID;""Location"";""Age"""
"4;""porto", v.n.gaia," portugal"";""17"""
"8;""timmins", ontario," canada"";NULL"
"12;""fort bragg", california," usa"";NULL"
"16;""albuquerque", new mexico," usa"";NULL"
"20;""langhorne", pennsylvania," usa"";""19"""
"24;""cologne", nrw," germany"";""19"""
"28;""freiburg", baden-wuerttemberg," germany"";""24"""
"32;""portland", oregon," usa"";NULL"
"36;""montreal", quebec," canada"";""24"""
"40;""tonawanda", new york," usa"";""32"""
"44;""black mountain", north carolina," usa"";""51"""
"48;""chicago", illinois," usa"";NULL"
"52;""braunschweig", niedersachsen," germany"";NULL"
"56;""cheyenne", wyoming," usa"";""24"""
"60;""trieste", friuli venezia giulia," italy"";NULL"
"64;""lyon", rhone," france"";""32"""
"68;""montreal", quebec," canada"";NULL"
"72;""gloucester", england," united kingdom"";""34"""
"76;""charleston", south carolina," usa"";NULL"
"80;""etobicoke", ontario," canada"";NULL"
"84;""san diago", california," usa"";NULL"
"88;""fayetteville", georgia," usa"";NULL"
"93;""eden", wisconsin," usa"";""50"""
"97;""mechanicsburg", pennsylvania," usa"";NULL"
"101;""nagpur", idaho," india"";""26"""
"105;""hull", england," united kingdom"";""36"""
"109;""muncie", indiana," usa"";""20"""
"113;""san francisco", california," usa"";NULL"
"117;""ann arbor", michigan," usa"";""57"""
"121;""rochester", minnesota," usa"";NULL"
"125;""lansing", michigan," usa"";""49"""
"129;""bloomington", minnesota," usa"";""47"""
"133;""jacksonville", florida," usa"";""45"""
"137;""vancouver", british columbia," canada"";NULL"
"141;""darien", new york," usa"";NULL"
"145;""inverness", scotland," united kingdom"";NULL"
"149;""ljubljana", n/a," slovenia"";NULL"
"153;""lille", nord of france," france"";""24"""
"157;""legnano", lombardia," italy"";""36"""
"161;""lisboa", lisboa," portugal"";""27"""
"165;""olympia", washington," usa"";""62"""
"169;""arlington", virginia," usa"";NULL"
"173;""ames", iowa," usa"";NULL"
"177;""amsterdam", n/a," netherlands"";""46"""
"181;""karachi", sindh," pakistan"";NULL"
"185;""baton rouge", louisiana," usa"";""17"""
"189;""blankenberge", n/a," belgium"";""31"""
"193;""mumbai", maharashtra," india"";""23"""
"197;""brantford", ontario," canada"";NULL"
"201;""sharjah", sharjah," u.a.e"";NULL"
"205;""istanbul", victoria," turkey"";""23"""
"209;""pj", selangor," malaysia"";""21"""
"213;""gainesville", florida," usa"";NULL"
"217;""spencer", massachusetts," usa"";NULL"
"221;""palm beach", florida," usa"";""79"""
"225;""elgin", texas," usa"";NULL"
"229;""delhi", delhi," india"";""22"""
"233;""tampere", pirkanmaa," finland"";NULL"
"237;""plymouth", minnesota," usa"";""27"""
"241;""auburn", alabama," usa"";NULL"
"245;""lajolla", california," usa"";""31"""
"249;""amsterdam", noord-holland," netherlands"";""29"""
"253;""milano", lombardia," italy"";""28"""
"257;""quit", quit," quit"";NULL"
"261;""lonsee", baden-wuerttemberg," germany"";""45"""
"265;""tianjin", n/a," china"";""24"""
"269;""aarhus", jylland," denmark"";NULL"
"273;""snohomish", washington," usa"";NULL"
"277;""dubbo", new south wales," australia"";""15"""
"281;""dresden", sachsen," germany"";""31"""
"285;""cambridge", cambridgeshire," united kingdom"";NULL"
"289;""tampa", florida," usa"";""15"""
"293;""winnipeg", manitoba," canada"";""25"""
"297;""daly city", california," usa"";""27"""
"301;""walled lake", michigan," usa"";""32"""
"305;""poway", california," usa"";NULL"
"309;""london", england," united kingdom"";""30"""
"314;""århus", n/a," denmark"";""28"""
"318;""berlin", n/a,";NULL
319"";""1407 københavn k", n/a," denmark"";""32"""
"323;""seattle", washington," usa"";""23"""
"327;""dallas", texas," usa"";NULL"
"331;""buenos aires", buenos aires," argentina"";""60"""
"335;""modena", emilia romagna," italy"";""27"""
"339;""tampere", pirkanmaa," finland"";""20"""
"343;""mesa", arizona," usa"";NULL"
"347;""montreal", quebec," canada"";""34"""
"351;""ankara", turkey," turkey"";NULL"
"355;""london", uk," london"";NULL"
"359;""springville", california," usa"";NULL"
"363;""uhingen", baden-wuerttemberg," germany"";NULL"
"367;""culver city", california," usa"";""45"""
"371;""los barriles", b.c.s.," mexico"";NULL"
"375;""leipzig", sachsen," germany"";""28"""
"379;""vancouver", british columbia," canada"";""47"""
"383;""carmichael", california," usa"";NULL"
"387;""charity", missouri," usa"";""17"""
"391;""waco", texas," usa"";NULL"
"395;""madrid", n/a," spain"";""24"""
"399;""abuja", fct abuja," nigeria"";""41"""
"403;""romeo", michigan," usa"";NULL"
"407;""lahore", punjab," pakistan"";NULL"
"411;""defiance", ohio," usa"";""27"""
